ID,Status,Priority,Phase,Title,Description,Files,Dependencies,Acceptance Criteria,Notes
A1,Done,High,Scaffold & serve,"Create desktop-app/deno.json + version.ts: imports map (sharp, zod), desktop block (app name/identifier, backend webview, output), tasks (dev/build/test), compilerOptions lib",desktop-app/deno.json; desktop-app/version.ts,,,"deno task dev starts without config errors; desktop block validated by deno desktop","Pin Deno 2.9.5; permissions baked into build task; --compress xz in build for sharp native addon; --allow-net required for Deno.serve even in desktop mode"
A2,Done,High,Scaffold & serve,"Implement main.ts static server: serve static/ with MIME map (html/css/js/svg/png/ico), URL-decode pathname once, reject .. segments, adopt startup window with title",desktop-app/main.ts,,A1,"Window opens; / serves index.html; assets 200 with correct Content-Type; traversal paths rejected","No port hardcoded — Deno.serve uses DENO_SERVE_ADDRESS"
A3,Done,High,Scaffold & serve,"Create static/index.html from design/compressy.html markup: strip demo script + FILES array, keep all UI semantics; add Alpine/htmx/Handlebars script tags + Alpine component roots (workspace, titlebar, statusbar)",desktop-app/static/index.html,,A2,"Page renders all design sections; no demo JS errors; Alpine components mount","Demo script is preview-only; its UI semantics (selection, filters, footers, disabled states) preserved"
A4,Done,High,Scaffold & serve,"Copy design CSS to static/styles.css, trimmed of demo-only bits; keep GitHub token variables and all component styles verbatim",desktop-app/static/styles.css; design/compressy.html,,A3,"Visual parity with design; responsive rules intact",""
A5,Done,High,Scaffold & serve,"Download pinned htmx 2.x, Alpine 3.x, Handlebars 4.7 into static/vendor/ (no CDN at runtime)",desktop-app/static/vendor/htmx.min.js; desktop-app/static/vendor/alpine.min.js; desktop-app/static/vendor/handlebars.min.js,,A3,"Vendor files present with pinned versions; served locally with 200","htmx optional per plan §5.7/§14 — keep vendored per requirements"
A6,Done,High,Scaffold & serve,"Smoke test: deno task dev — window opens, page renders, static assets load without console errors",desktop-app/main.ts; desktop-app/static/index.html,,A3;A4;A5,"Window opens via deno desktop --hmr; DevTools shows no errors; index/styles/app.js/vendor scripts all 200","Phase gate"
B1,Done,High,Backend core,"Create types.ts: FileEntry, ScanResult, CompressRequest, FileResult, CompressResult, Progress, AppSettings, Bindings interface + zod schemas for every binding arg",desktop-app/types.ts,,A1,"All contracts match plan §6; zod schemas reject invalid payloads in unit test","Bindings interface types the webview global"
B2,Done,High,Backend core,"Implement settings.ts: load/save AppSettings + lastFolder + window geometry, atomic write (tmp + rename), tolerate missing/corrupt files",desktop-app/settings.ts; desktop-app/tests/settings_test.ts,,A1,"settings_test.ts passes: defaults on missing file, roundtrip, corrupt file fallback, atomic write","App data dir: LOCALAPPDATA/compressy (fallback ~/.compressy)"
B3,Done,High,Backend core,"Implement scanner.ts: recursive scan for jpg/png/webp/avif, sharp metadata (w/h/format, no pixel decode), error-tolerant (skip unreadable, collect errors count), numeric-name sort",desktop-app/scanner.ts; desktop-app/tests/scanner_test.ts; desktop-app/tests/fixtures/,,A1,"scanner_test.ts passes: nested dirs, unsupported ignored, corrupt file -> errors count, dims/size correct","sharp metadata() reads header only"
B4,Done,High,Backend core,"Implement worker.ts: sharp encode pipeline — resize (fit inside, withoutEnlargement), strip metadata (keep orientation), encode options per mode/format table, overwrite/.bak + no-overwrite naming, keep original when output larger",desktop-app/worker.ts; desktop-app/tests/compressor_test.ts,,A1,"compressor_test.ts passes: per-format in/out, resize dims, strip, larger-output keep, .bak behavior, single-file failure doesn't abort","Mode table: balanced/max/fast x jpeg/png/webp/avif"
